date;IMOEX
08.05.2018;2301,99
10.05.2018;2312,92
11.05.2018;2345,26
14.05.2018;2357,62
15.05.2018;2337,03
16.05.2018;2338,39
17.05.2018;2323,51
18.05.2018;2326,94
21.05.2018;2332,63
22.05.2018;2326,87
23.05.2018;2295,57
24.05.2018;2294,01
25.05.2018;2306,57
28.05.2018;2311,28
29.05.2018;2298
30.05.2018;2297,6
31.05.2018;2302,88
01.06.2018;2295,34
04.06.2018;2323,64
05.06.2018;2318,23
06.06.2018;2315,45
07.06.2018;2316,07
08.06.2018;2267,92
09.06.2018;2281,51
11.06.2018;2271,74
13.06.2018;2270,73
14.06.2018;2253,48
15.06.2018;2237,53
18.06.2018;2222,56
19.06.2018;2221,42
20.06.2018;2256,27
21.06.2018;2245,94
22.06.2018;2249,68
25.06.2018;2236,65
26.06.2018;2231,03
27.06.2018;2253,6
28.06.2018;2250,26
29.06.2018;2295,95
02.07.2018;2319,31
03.07.2018;2301,65
04.07.2018;2304,06
05.07.2018;2346,86
06.07.2018;2345,38
09.07.2018;2373,17
10.07.2018;2365,17
11.07.2018;2336,15
12.07.2018;2322,06
13.07.2018;2346,43
16.07.2018;2334,18
17.07.2018;2310,92
18.07.2018;2294,78
19.07.2018;2269,45
20.07.2018;2247,82
23.07.2018;2261,25
24.07.2018;2278,3
25.07.2018;2282,84
26.07.2018;2293,07
27.07.2018;2292,72
30.07.2018;2295,72
31.07.2018;2321,11
01.08.2018;2315,18
02.08.2018;2295,15
03.08.2018;2297,99
06.08.2018;2299,88
07.08.2018;2312,19
08.08.2018;2293,01
09.08.2018;2309,58
10.08.2018;2275,05
13.08.2018;2285,61
14.08.2018;2282,88
15.08.2018;2267,13
16.08.2018;2261,09
17.08.2018;2255,12
20.08.2018;2272,49
21.08.2018;2291,76
22.08.2018;2297,06
23.08.2018;2260,04
24.08.2018;2279,76
27.08.2018;2312,93
28.08.2018;2316,28
29.08.2018;2348,44
30.08.2018;2330,92
31.08.2018;2345,85
03.09.2018;2346,08
04.09.2018;2336,38
05.09.2018;2321,33
06.09.2018;2320,65
07.09.2018;2321,82
10.09.2018;2335,85
11.09.2018;2335,19
12.09.2018;2340,63
13.09.2018;2357,32
14.09.2018;2360,26
17.09.2018;2373,75
18.09.2018;2402,58
19.09.2018;2404,42
20.09.2018;2400,89
21.09.2018;2426,8
24.09.2018;2430,01
25.09.2018;2444,22
26.09.2018;2427,29
27.09.2018;2474,57
28.09.2018;2475,36
01.10.2018;2472,22
02.10.2018;2449,7
03.10.2018;2493,91
04.10.2018;2465,03
05.10.2018;2450,9
08.10.2018;2454,28
09.10.2018;2443,83
10.10.2018;2417,69
11.10.2018;2366,47
12.10.2018;2403,02
15.10.2018;2389,05
16.10.2018;2417,26
17.10.2018;2411,42
18.10.2018;2378,62
19.10.2018;2344,79
22.10.2018;2308,56
23.10.2018;2305,58
24.10.2018;2336,49
25.10.2018;2331,59
26.10.2018;2293,22
29.10.2018;2317,06
30.10.2018;2299,98
31.10.2018;2352,71
01.11.2018;2359,33
02.11.2018;2377,95
06.11.2018;2412,31
07.11.2018;2445,34
08.11.2018;2438,62
09.11.2018;2403,47
12.11.2018;2393,81
13.11.2018;2374,94
14.11.2018;2378,59
15.11.2018;2381,45
16.11.2018;2372,67
19.11.2018;2373,78
20.11.2018;2341,6
21.11.2018;2357,97
22.11.2018;2369,53
23.11.2018;2342,97
26.11.2018;2308,5
27.11.2018;2338,71
28.11.2018;2381,12
29.11.2018;2398,56
30.11.2018;2392,5
03.12.2018;2441,19
04.12.2018;2443,38
05.12.2018;2445,55
06.12.2018;2412,31
07.12.2018;2431,29
10.12.2018;2396,84
11.12.2018;2394,26
12.12.2018;2370,35
13.12.2018;2378,5
14.12.2018;2365,69
17.12.2018;2359,13
18.12.2018;2350,29
19.12.2018;2358,58
20.12.2018;2352,88
21.12.2018;2347,17
24.12.2018;2322,27
25.12.2018;2290,86
26.12.2018;2308,85
27.12.2018;2327,81
28.12.2018;2358,5
29.12.2018;2369,33
03.01.2019;2375,6
04.01.2019;2406,5
08.01.2019;2389,69
09.01.2019;2414,13
10.01.2019;2434,15
11.01.2019;2444,45
14.01.2019;2440,15
15.01.2019;2439,55
16.01.2019;2434,6
17.01.2019;2447,64
18.01.2019;2473,61
21.01.2019;2468,25
22.01.2019;2468,73
23.01.2019;2491,49
24.01.2019;2482,71
25.01.2019;2498,23
28.01.2019;2476,81
29.01.2019;2498,35
30.01.2019;2511,86
31.01.2019;2521,1
01.02.2019;2521,7
04.02.2019;2523,52
05.02.2019;2547,27
06.02.2019;2539,73
07.02.2019;2509,89
08.02.2019;2502,82
11.02.2019;2510,22
12.02.2019;2533,32
13.02.2019;2485,76
14.02.2019;2460,82
15.02.2019;2490,16
18.02.2019;2472,41
19.02.2019;2458,55
20.02.2019;2487,82
21.02.2019;2470,23
22.02.2019;2488,63
25.02.2019;2494,63
